,attr_conc.mean,attr_conc.sd,attr_ent.mean,attr_ent.sd,attr_to_inst,can_cor.mean,can_cor.sd,cat_to_num,class_conc.mean,class_conc.sd,class_ent,cor.mean,cor.sd,cov.mean,cov.sd,eigenvalues.mean,eigenvalues.sd,eq_num_attr,freq_class.mean,freq_class.sd,g_mean.mean,g_mean.sd,gravity,h_mean.mean,h_mean.sd,inst_to_attr,iq_range.mean,iq_range.sd,joint_ent.mean,joint_ent.sd,kurtosis.mean,kurtosis.sd,leaves,leaves_branch.mean,leaves_branch.sd,leaves_corrob.mean,leaves_corrob.sd,leaves_homo.mean,leaves_homo.sd,leaves_per_class.mean,leaves_per_class.sd,lh_trace,mad.mean,mad.sd,max.mean,max.sd,mean.mean,mean.sd,median.mean,median.sd,min.mean,min.sd,mut_inf.mean,mut_inf.sd,nodes,nodes_per_attr,nodes_per_inst,nodes_per_level.mean,nodes_per_level.sd,nodes_repeated.mean,nodes_repeated.sd,nr_attr,nr_bin,nr_cat,nr_class,nr_cor_attr,nr_disc,nr_inst,nr_norm,nr_num,nr_outliers,ns_ratio,num_to_cat,p_trace,range.mean,range.sd,roy_root,sd.mean,sd.sd,sd_ratio,skewness.mean,skewness.sd,sparsity.mean,sparsity.sd,t_mean.mean,t_mean.sd,tree_depth.mean,tree_depth.sd,tree_imbalance.mean,tree_imbalance.sd,tree_shape.mean,tree_shape.sd,var.mean,var.sd,var_importance.mean,var_importance.sd,w_lambda
337,0.045229288794982406,0.020956854283928506,2.781003780756672,0.01744871774897892,0.12607449856733524,0.5763608304509902,,0.0,0.014638946076302489,0.008458237500434208,0.8446127584974168,0.2834613134130734,0.18691250998356118,26.49320828963203,24.94637060529274,91.74315030554531,245.75994429148844,11.818741155835102,0.5,0.32214893469530387,63.99333659075748,5.230123087158664,36.46965704355982,62.2077135030966,6.281823329452474,7.931818181818182,9.295454545454545,2.473859102364351,3.554152688124697,0.04604136508765602,5.633586814379874,4.23396800322439,30.0,6.033333333333333,1.7904600320690718,0.03333333333333333,0.06502024804148442,495.47301587301587,439.4167764638149,0.5,0.14142135623730948,0.4974359558621722,6.6717,1.5500249789435128,81.13636363636364,3.2606955249691607,65.03223495702005,4.692148139453308,66.9090909090909,4.317720015364386,18.954545454545453,10.716113807599315,0.0714638511293919,0.04540190752567252,29.0,0.6590909090909091,0.0830945558739255,3.2222222222222223,1.7159383568311668,1.2083333333333333,0.5089773777040516,44.0,0.0,0.0,2.0,0.1331923890063425,1.0,349.0,0.0,44.0,44.0,37.91483227962916,,0.332191806878155,62.18181818181818,9.98667187915911,0.4974359558621722,9.312904725278703,2.2648479535741393,1.5107786146389945,-1.8053808058102987,0.6141339059186532,0.021227333863311305,0.004122617851829506,66.65607496768634,4.3186745750215385,5.1525423728813555,2.0911435522058746,0.10944139936091474,0.08262486558387451,0.12799479166666666,0.11972571468158594,91.74315030554534,46.49290008433592,0.02272727272727273,0.035502293947167585,0.6678081931218449
338,0.10086762495556054,0.19252601425336602,1.8869576971609188,0.47073932473805125,0.05161290322580645,0.4182309766123034,0.12994101022531981,0.0,0.0680095937293928,0.0303122373872542,1.9240283582739968,0.23316550437779998,0.25443362040860834,1.0225537135675384,2.1202945840920937,6.776330121491412,13.273131802792843,12.459595300647612,0.24999999999999997,0.08757336748708533,0.53140931219277,1.5030525129487469,3.1680033594693833,0.39103796251802014,1.1060223799914521,19.375,3.375,3.1594529363709247,3.6565646386996553,0.46312504875544536,-0.7041676562807891,0.9387368138772476,75.0,7.76,2.265129314368345,0.013333333333333336,0.01158639488000068,4693.598845598846,6319.863516026238,0.25,0.05263430792145338,0.7319435170774512,2.409225,2.2327075592204184,6.875,5.866064633612068,3.3556451612903224,3.3685618605679957,3.25,3.453776401067595,0.125,0.3535533905932738,0.1544214167352604,0.05861721884023717,74.0,9.25,0.4774193548387097,6.166666666666667,3.6139460511477,9.25,5.574175147179049,8.0,0.0,0.0,4.0,0.10714285714285714,3.0,155.0,0.0,8.0,1.0,11.21953364406644,,0.5585207816709967,6.75,5.800246300189083,0.4282420229158797,2.0453143424609066,1.7214676004635845,,0.38416474517352983,0.6210533252208995,0.17823000412286127,0.10144119107542258,3.2916666666666665,3.5251974055968467,6.818791946308725,2.5733921542186606,0.0868009312663819,0.08953624928156007,0.06654947916666666,0.07776156348111114,6.776330121491412,11.538213781548555,0.125,0.06205477720465717,0.5292367837184123
339,0.1511246222896605,0.1485878040382684,1.4973835322428208,0.33699290002546006,0.6111111111111112,0.8717603240308479,0.11315713505528788,0.0,0.1959017764789536,0.15457701960654371,1.584962500721156,,,1288.467357043295,6401.813346554748,34619.38002200107,152868.93521841062,5.5712577528196965,0.3333333333333333,0.0,184.33158979730135,473.15463773788525,588.7369116010923,172.98569821506018,447.75331999346383,1.6363636363636365,99.21314837008885,294.0338123461798,2.7978568617496338,0.35876156919939217,-0.33624742332796315,1.363156389874811,5.0,2.8,1.3038404810405297,0.2,0.14081990950707304,14.666666666666668,5.055250296034367,0.3333333333333333,0.23094010767585027,11.304109677342089,69.6092167373614,196.2115184922328,356.8014089309356,854.8122118265901,201.83462114340503,499.7253311792654,192.8314088335769,471.92414242044543,101.11627385790713,269.20535589530584,0.2844891712143426,0.24476949517550425,4.0,0.18181818181818182,0.1111111111111111,1.0,0.0,1.0,0.0,22.0,0.0,0.0,3.0,0.17316017316017315,2.0,36.0,11.0,22.0,9.0,4.263411348316831,,1.5327366623226586,255.6851350730285,604.6121043741834,9.624136332071679,68.16032781768166,177.20288266806594,,0.42218576439314004,0.5830111484124008,0.06878551445215195,0.21618627760459144,193.66526228935297,474.49570014456543,2.2222222222222223,1.3944333775567928,0.19825712630196757,0.11291388205586965,0.375,0.125,34619.38002200106,149782.04347806884,0.045454545454545456,0.1201027805099297,0.03512172922575394
340,0.22109355799700486,0.22340387731767417,1.0914098817577123,0.7262679240043936,0.46153846153846156,,,0.0,0.22993626802973358,0.18613887580853758,1.4642745091475293,,,,,,,11.614997864755818,0.3333333333333333,0.15662553490859765,,,,,,2.1666666666666665,,,2.4296168249704535,0.6516957508740225,,,,,,,,,,,,,,0.1260675659347883,0.10773122811446283,24.0,0.0,0.0,3.0,0.18840579710144928,,52.0,11.0,24.0,5.0,7.657340797095045,,,,,,,,,,,0.03275462021198628,0.0735312685586622,356.0874347786109,520.9729331521054,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,0.26961658838697083,0.2435641301672792,1.0013702509121587,0.7584875945986637,0.4423076923076923,,,0.0,0.25598903779011556,0.19069119317975602,1.3143204867061786,,,,,,,10.123448076471247,0.3333333333333333,0.22205779584216376,,,,,,2.260869565217391,,,2.185861407060412,0.6648675653749014,,,,,,,,,,,,,,0.1298293305579253,0.14117443455601209,23.0,0.0,0.0,3.0,0.20553359683794464,,52.0,14.0,23.0,5.0,6.7129739990870725,,,,,,,,,,,0.03508065646729817,0.07477129600938652,259.78009526751447,401.9906729295065,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,0.11636122849304167,0.10231108293640678,1.5221310948389328,0.15879897950582197,0.49206349206349204,0.8486565321023914,0.14845692726926815,0.0,0.07917813102981455,0.034593906050545735,1.3128385360617658,0.2036000490393297,0.15187231519808508,15.779592341131574,21.697351451409528,103.74507991827001,184.20920394932492,10.621733194672336,0.25,0.2701134637124621,,,66.30145262167555,0.0,0.0,2.032258064516129,10.827096649715978,7.2976266315681455,2.7113703545867103,0.15687142606822382,3.6949193968981926,9.322139029235581,11.0,3.909090909090909,1.1361818036340359,0.09090909090909091,0.09838476538831832,48.26666666666667,19.4182960689712,0.25,0.18741389207353001,18.487815808720047,7.728650261006816,5.597755494554022,39.115806625735374,27.872625533408158,12.01789045162953,8.987454278357038,11.330322550189111,9.052842050805513,0.0,0.0,0.12359927631398812,0.052928826791445935,10.0,0.3225806451612903,0.15873015873015872,2.0,0.7071067811865476,1.25,0.4629100498862757,31.0,0.0,0.0,4.0,0.04946236559139785,3.0,63.0,4.0,31.0,17.0,11.315048600868455,,2.2047326469486372,39.115806625735374,27.872625533408158,13.352312482988257,8.563411853126606,5.60596342571023,,1.091923557473474,1.515355271292016,0.04247922207156155,0.09597159827838714,11.325028951055653,8.89664710168143,3.142857142857143,1.4589624493356328,0.19825712630196757,0.11291388205586965,0.2727272727272727,0.1304221728917985,103.74507991827002,107.94224101545073,0.03225806451612903,0.06870379963920413,0.007085101776581693
346,0.22992714828483599,0.23531496343395653,1.5531547763059281,0.03605746584581514,0.08,0.4257113876944382,,0.0,0.007803089355675753,0.010759769430731446,1.0,0.27120643452348653,0.29858231599668317,6477815061.769866,15863576291.437902,10149983192253.738,20299802490952.805,88.94778853416464,0.5,0.0,409147.06401107786,817548.4423490289,167563.3939195549,164966.52787658008,329891.40976894216,12.5,528134.0,1050300.9877946298,2.541912225856055,0.024572093394397775,1.185700534366628,3.7328497435309536,13.0,4.615384615384615,1.4455945454184551,0.07692307692307693,0.05879124302487792,84.93333333333332,41.64812031683934,0.5,0.054392829322042084,0.22134448831427359,345567.74384999997,689555.9382983685,5692319.0,11329809.80741954,1108102.92,2210182.5971502303,404515.375,807935.1189851586,40654.75,81307.50001229899,0.011242550449873212,0.015486545735445984,12.0,3.0,0.24,2.0,0.8944271909999159,4.0,1.0,4.0,0.0,0.0,2.0,0.16666666666666666,1.0,50.0,0.0,4.0,2.0,137.14968260368747,,0.1812301856127243,5651664.25,11248502.783034502,0.22134448831427359,1597152.9817981855,3183098.1857276317,1.2886111935589513,1.0254718150446887,1.248776292637775,0.09183673469387754,0.10604392699401288,442690.6833333333,883462.5164840963,3.84,1.6753109164172084,0.16146064929461984,0.11360185774517471,0.20192307692307693,0.12277670214557643,10149983192253.744,20299777695330.387,0.25,0.2424818601943365,0.8187698143872757
350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
