,attr_conc.mean,attr_conc.sd,attr_ent.mean,attr_ent.sd,attr_to_inst,can_cor.mean,can_cor.sd,cat_to_num,class_conc.mean,class_conc.sd,class_ent,cor.mean,cor.sd,cov.mean,cov.sd,eigenvalues.mean,eigenvalues.sd,eq_num_attr,freq_class.mean,freq_class.sd,g_mean.mean,g_mean.sd,gravity,h_mean.mean,h_mean.sd,inst_to_attr,iq_range.mean,iq_range.sd,joint_ent.mean,joint_ent.sd,kurtosis.mean,kurtosis.sd,leaves,leaves_branch.mean,leaves_branch.sd,leaves_corrob.mean,leaves_corrob.sd,leaves_homo.mean,leaves_homo.sd,leaves_per_class.mean,leaves_per_class.sd,lh_trace,mad.mean,mad.sd,max.mean,max.sd,mean.mean,mean.sd,median.mean,median.sd,min.mean,min.sd,mut_inf.mean,mut_inf.sd,nodes,nodes_per_attr,nodes_per_inst,nodes_per_level.mean,nodes_per_level.sd,nodes_repeated.mean,nodes_repeated.sd,nr_attr,nr_bin,nr_cat,nr_class,nr_cor_attr,nr_disc,nr_inst,nr_norm,nr_num,nr_outliers,ns_ratio,num_to_cat,p_trace,range.mean,range.sd,roy_root,sd.mean,sd.sd,sd_ratio,skewness.mean,skewness.sd,sparsity.mean,sparsity.sd,t_mean.mean,t_mean.sd,tree_depth.mean,tree_depth.sd,tree_imbalance.mean,tree_imbalance.sd,tree_shape.mean,tree_shape.sd,var.mean,var.sd,var_importance.mean,var_importance.sd,w_lambda
45065,0.03837571125007833,0.12704134218314742,2.314873459883114,1.7291013659745695,0.00035389617570945125,0.45952489464017493,,0.0,0.00738070098498002,0.00803631847143602,0.5206312212538164,0.064539546483407,0.11464415260445504,191.3181128729787,1568.3418607705657,584197.8177854291,2316441.30329921,26.109748059491434,0.5,0.5416652839537657,,,592.89519330391,,,2825.6875,101.125,338.8448760126085,2.8155645721758042,1.7200878875136023,297.3948299870328,1122.933380072027,3678.0,15.97362697117999,4.045244585617357,0.0002718868950516585,0.0020446010244102647,610971676.9470422,5199264939.22801,0.5,0.03768160117252948,0.2676892225781076,51.983662499999994,166.77105583259493,6775.9375,25456.297296788864,108.5568362787817,340.3418775403618,43.75,116.71189599465286,-500.0,2005.0717027910332,0.01994010896112635,0.02530705946896846,3677.0,229.8125,0.08132976488022826,122.56666666666666,123.9476205648102,229.8125,223.31508942896508,16.0,3.0,0.0,2.0,0.008333333333333333,1.0,45211.0,0.0,16.0,9.0,115.09131446553313,,0.21116312879406388,7275.9375,27459.23855333878,0.2676892225781076,214.83028996107532,757.5720968467056,1.0199508066311491,4.323983169999342,10.403950751932577,0.18287980987278413,0.19632495097149974,53.59519804991336,151.03996903498563,14.975934738273283,4.280781924777284,0.03518571355521444,0.05399128408491517,0.0024481814885395515,0.007526061394319912,584197.8177854293,2316432.752921836,0.06249999999999999,0.07139679422197827,0.7888368712059362
45066,0.052300200088782306,0.13355164770897884,1.2847303195305393,1.1984632184791453,0.00028724531740607575,0.3427475367921787,0.323058133271771,0.0,0.09608829965086373,0.16794470892345167,2.1821244132959707,0.08472362709412858,0.15712009304218372,589.2707766425223,6594.6315781515905,11447.683292926666,50431.88038144003,15.199603966792083,0.14285714285714285,0.140902709302771,,,145.63630240700056,0.0,0.0,3481.344827586207,5.620689655172414,16.270950874627214,3.323290175614135,1.197200082182461,15.085697182700168,39.75894838132597,22137.0,26.849527939648553,6.4896214770775895,4.517323937299543e-05,0.0023473155913783417,876459454728417.1,2.8614719969704496e+16,0.14285714285714285,0.13717172024966004,2.4439265509697536,1.4826,4.964891980698068,121.65517241379311,304.3757400533179,23.636402759604355,44.33160199726913,10.172413793103448,19.080784959739024,0.0,0.0,0.14356455721237543,0.24683182886447003,22136.0,763.3103448275862,0.2192573222793411,425.6923076923077,474.9306053937441,763.3103448275862,1862.976671570992,29.0,0.0,0.0,7.0,0.04433497536945813,6.0,100959.0,0.0,29.0,23.0,7.948798676194391,,1.2266880312278425,121.65517241379311,304.3757400533179,1.2419948764806201,37.96514666029639,101.80225878557704,,0.24325198401224973,2.0827970325632297,0.11727067150660234,0.10514964741470482,10.438064862446373,16.705813133603947,25.85015698055248,6.6406108760711815,0.01728403819434115,0.05088525066799947,0.0002448592336540352,0.005965735039410222,11447.68329292667,35710.29490903114,0.034482758620689655,0.09042763841509868,0.1851070156832298
45067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45070,0.053448238711140635,0.14994469223562434,3.7214449247318075,1.8230335284849808,0.00044634886627387967,0.1930984797667956,,0.0,0.0007112752277836907,0.0008836755994806822,0.4544338814262949,0.16720074458756387,0.2540212780382312,337125349.113817,2777771808.893711,11050816718939.191,60527765241849.55,69.9314282787012,0.5,0.5721071648057557,42103815.21812474,230597020.51523265,737846.241741248,42099361.62952378,230573045.50732517,2240.4,1047325.0416666666,5725756.008763648,4.169380527878769,1.8202644081159511,2.14428481324635,7.807749719304551,6856.0,20.668611435239207,6.7471914915908515,0.00014585764294049007,0.0004899064971109714,4384304379981.1655,102081985718873.92,0.5,0.025371684389132284,0.038731193797878205,774233.46329,4232811.906796491,43137816.86666667,236187295.15230936,42110444.58376382,230620569.7288876,42139359.25,230778677.0073975,41037427.7,224769505.07767075,0.006498278279334106,0.005505648212724859,6855.0,228.5,0.1019907159435815,152.33333333333334,141.6918872380875,228.5,169.42188719899494,30.0,1.0,0.0,2.0,0.12183908045977011,1.0,67212.0,0.0,30.0,20.0,571.6816804024517,,0.03728702288824757,2100389.1666666665,11417815.51810649,0.038731193797878205,608276.322779347,3324021.7592474087,,0.6816284648856026,1.4636721012605245,0.09247071449614995,0.14332665252032328,42119747.376913466,230671411.58669475,19.67019181678944,6.89133435800419,0.022388268704892005,0.04505537244064252,0.0012950923455148514,0.005931617624859021,11050816718939.188,60527763305895.39,0.03333333333333333,0.024290766990750803,0.9627129771117524
45073,0.029458094494508813,0.11708025989071895,3.258706346756842,1.2598533745117475,0.0030231335436382754,0.1993241811161897,,0.0,0.0011843593332145877,0.0022513711710108104,1.0,0.11011123941740826,0.15022075414198477,7323.154147474665,39461.88587378139,573118.9492844928,2136784.811123659,264.24277728728185,0.5,0.0,,,122.59333571508508,,,330.7826086956522,307.21233041973215,1131.481345059042,4.254921948143318,1.2599336733984445,23.07484274283679,35.953924314858796,1492.0,14.743967828418231,4.261583867058469,0.0006702412868632708,0.0009646946472028035,86853240.97195645,601832188.017242,0.5,0.0037914572717777373,0.04137392037887779,218.48240174960037,840.9348262719037,2664.455901152414,5734.27894052971,351.7633202783956,1111.1749251795384,312.6361136559559,1116.651569291955,3.4820434803765714,7.824198751349366,0.003784398613525057,0.0036019112263937277,1491.0,64.82608695652173,0.19597791798107256,53.25,46.766262768510096,64.82608695652173,36.15453218655247,23.0,3.0,0.0,2.0,0.03952569169960474,1.0,7608.0,0.0,23.0,19.0,860.0896154307202,,0.0397301291776396,2660.9738576720374,5735.18461730215,0.04137392037887779,294.32608151647526,713.165015379392,,2.7988120069369087,2.969692114062384,0.0776526674903812,0.16951288682296306,315.3099729501414,1110.632956365363,13.749245725779417,4.48091697863778,0.03655047810968142,0.05515795453536604,0.005276139391131759,0.01444216332013237,573118.9492844928,2128130.8486141986,0.043478260869565216,0.02160291179443022,0.9602698708223604
45074,0.004506226398697023,0.012081389167600834,2.329631288749702,1.1765631009633661,0.0008182562051095554,0.42589780219327805,,0.0,0.0026887305218875586,0.004360070659194437,0.9728535767916208,0.039125588310364605,0.08446109234469196,303.5376826832679,1660.1038649099942,297192.2708612698,891488.9255564202,22.521989559508793,0.5,0.13674116952302817,354.96860747686185,1058.469767342947,896.1243387616137,300.1462142526883,895.4366598532916,1222.111111111111,358.6111111111111,1069.4595532843264,3.259289144567335,1.1047483883149218,-0.14931300759267505,1.9387925307677627,2811.0,20.503735325506938,6.172914974370873,0.0003557452863749555,0.004555515401219395,174673303417.85605,1728317695119.7434,0.5,0.0007546497131126158,0.22158134224406723,220.74266666666665,657.7814531355456,882.4444444444445,2611.4116446431376,407.0771888353487,1210.1083526928296,463.55555555555554,1382.043062924516,111.88888888888889,333.41769765732454,0.043195720973988355,0.08334752690923906,2810.0,312.22222222222223,0.25547777070642785,72.05128205128206,62.32130189081197,312.22222222222223,297.73090945423263,9.0,1.0,0.0,2.0,0.0,1.0,10999.0,0.0,9.0,2.0,52.93199224878227,,0.1813889379130646,770.5555555555555,2278.004834889026,0.22158134224406723,184.3377544870395,544.1629774464991,1.1709121823421917,0.19493820043154939,0.9735668557026792,0.20814643361488652,0.16035309902215603,417.8434243969769,1244.6120844908305,19.507560932218468,6.326368709044104,0.022542669732967157,0.060656827791594,0.001587143985931383,0.012388937011721135,297192.2708612699,891474.9355176777,0.1111111111111111,0.12358230026272099,0.8186110620869353
45075,0.05825108696537009,0.13687595638892694,2.686024296306449,1.4354008338828943,0.008942766295707472,0.5768944668494298,,0.0,0.019030351791603756,0.07788904393294022,1.0,0.09493062526198656,0.18789589476879623,29706428392.955704,386637755081.4319,856506129227.3268,4063545444849.666,42.52300050987901,0.5,0.0,,,2016178.0913783258,,,111.82222222222222,459663.80239609943,1560377.388855759,3.6625076115003594,1.4323114676277282,136.29615074334927,209.147575542195,544.0,14.042279411764707,5.133579836741754,0.001838235294117647,0.008828290507169012,78410949.94015902,334594385.4536404,0.5,0.005199314567548125,0.4988171916597705,234667.64280244245,829133.5443139771,2495332.8870978463,5455437.94523873,302642.26647944096,1027907.3957855393,246739.03483725918,1100196.6183695467,-57184.80839775095,383771.9715818077,0.023516684806089316,0.06095497134025022,543.0,12.066666666666666,0.1079093799682035,20.11111111111111,14.598032884692515,12.627906976744185,8.460055318444475,45.0,3.0,0.0,2.0,0.06666666666666667,1.0,5032.0,0.0,45.0,41.0,113.21781252138653,,0.33280722588148787,2552517.695495597,5543732.174942853,0.4988171916597705,320388.331057074,878060.687159499,,6.334841092947737,6.978451858743272,0.0839539878542031,0.13953491994595046,255375.49349875748,1009561.5272745066,13.056117755289788,5.305368976683378,0.036844152241138746,0.06566213498779268,0.011619204901816213,0.030575569149844727,856506129227.3264,3122897913205.619,0.022222222222222223,0.06835008443195865,0.6671927741185122
45076,0.0021222957785365327,0.0013579806837679153,3.3217247976510933,1.274675790603439,0.004,0.4297170797028898,,0.0,0.00582911578994847,0.01489885110437639,0.5878935751446988,0.035746505571616134,0.15765641623242427,26.631127039507366,98.3368089708747,104752.52167379358,465808.9000766495,37.93555896930665,0.5,0.507136983466992,4.483092604733807,20.048999627222774,62.63660107878693,3.1488448851724407,14.082062427696195,250.0,145.7547506093979,554.5615844005201,3.894121208891594,1.2771562573263477,0.40978656115031065,1.5763509096541033,276.0,12.394927536231885,4.345929296396268,0.0036231884057971015,0.010472712871458404,2025712.9271850958,6181247.435320555,0.5,0.005123962182511236,0.2264773428837813,107.41140420191286,411.34885086632687,356.55200054645536,1100.6225746657415,179.6042888926284,550.4794911330092,179.14050008058547,550.6355120623132,0.05,0.22360679774997894,0.015497163904197609,0.02235095583915439,275.0,13.75,0.055,12.5,7.275202500863562,13.75,6.214372136638711,20.0,2.0,0.0,2.0,0.02631578947368421,1.0,5000.0,6.0,20.0,16.0,213.34404502564246,,0.18465676858837976,356.5020005464554,1100.6280274034493,0.2264773428837813,87.52995414867529,319.6890410194264,1.0141174186535966,0.35566055044654055,0.7659850621639097,0.07808126039659066,0.1625727131958618,179.27954816208285,550.5839317078031,11.41923774954628,4.53474587437825,0.04591280809223374,0.07637954312109327,0.02114292331363844,0.043618321731428114,104752.52167379361,465808.6783451204,0.04999999999999999,0.04067816174836666,0.8153432314116202
45077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45078,0.10557056108269636,0.2636712639074485,1.4334114280918866,1.1546988044626347,0.003423763238067605,0.8406370587555397,,0.0,0.0393826499675435,0.05296723080202654,0.8629999927875766,0.16752341835821108,0.19954095565686678,0.012827931322192563,0.03237123299915201,0.11620703783117771,0.4171645319969951,10.616338374274395,0.5,0.3031747252457163,0.12179216696473001,0.293472279400013,2.2987456888373914,0.10294827173937288,0.26259891842004784,292.0762711864407,0.284945388971749,0.45263317154600075,2.215121623741986,1.1033925348939917,232.40555512530992,946.4307969838826,1171.0,14.61400512382579,4.43717110888755,0.0008539709649871904,0.009101012822341567,131705519.4576273,1109413922.5793967,0.5,0.007850032583625217,2.4091373727645657,0.06830897064226664,0.19473339329130065,1.228813559322034,0.4218602869374116,0.830620782156771,0.35470826087763246,0.8011649576789242,0.45272978920512763,0.007588279698431075,0.025864974099018046,0.08128979713747686,0.08634586841703276,1170.0,9.915254237288135,0.033947482953721166,40.3448275862069,35.66939050108947,10.73394495412844,15.248947870102056,118.0,2.0,0.0,2.0,0.060987976242213526,1.0,34465.0,0.0,118.0,86.0,16.633349799947332,,0.7066706645531647,1.2212252796236027,0.42677556340282136,2.4091373727645657,0.2721482221248551,0.20616152486186215,,-5.0901397933771175,14.344591614442255,0.13056495610940005,0.1529050316202347,0.8301473041414904,0.4158195111228567,13.620674925245622,4.645977919268722,0.03600825872845655,0.060441434015667844,0.006448651271865065,0.01695677171637164,0.11620703783117778,0.17599647402584045,0.008474576271186439,0.04308000848045663,0.29332933544683526
45079,0.025532236351421333,0.054360496079937703,2.6938122180701263,2.0334602436466716,0.0002863227214974678,0.43129170884869084,,0.0,0.0081886602464189,0.026943787294517588,1.0,0.07008601542287389,0.14930998010512905,3249062.99730195,69703494.52799247,706043123.7716451,3013818751.486658,76.51861152293584,0.5,0.0,,,7483.13450640254,,,3492.5625,10596.539180072956,42838.65396716119,3.6807435021055106,2.0347886679974887,62.35708500850437,108.93110385157091,17223.0,22.00458688962434,6.264737068129085,5.806189397898159e-05,0.0003536370911667843,730744888868645.9,2.336077596758365e+16,0.5,0.002504413496625381,0.2285201515172938,7819.968326804047,31606.300011280346,57415.653758917004,229242.2784456469,23312.94612959904,93165.71999296462,22851.846556961536,91620.04772629125,3167.425130993128,16066.301787229975,0.013068715964615459,0.0287838073652634,17222.0,538.1875,0.15409530967591847,331.1923076923077,402.8540843444454,538.1875,484.00935991349485,32.0,3.0,0.0,2.0,0.03225806451612903,1.0,111762.0,0.0,32.0,26.0,205.1267706302461,,0.1860125381216239,54248.228627923876,220389.9616859923,0.2285201515172938,6668.356392362319,26132.686674388562,1.0536246638162665,4.711620124058761,5.609019857422525,0.08912280454199589,0.1399238536360594,23132.414619011382,92893.52116918389,21.00525475395558,6.42118554185331,0.019135403129099015,0.03615732400671568,0.0005062708156894084,0.004277419247428453,706043123.7716446,2987909745.874212,0.03125,0.03125324490328238,0.8139874618783761
