,nr_cat,nr_num,num_to_cat_ratio,cor_mean,cor_sd,cov_mean,cov_sd,iqr_mean,iqr_sd,kurtosis_mean,kurtosis_sd,max_mean,max_sd,mean_mean,mean_sd,median_mean,median_sd,min_mean,min_sd,missing_mean,missing_sd,best_node_mean,nr_bin,outliers,sd_mean,sd_sd,nr_feat,nr_inst,attr_to_inst_ratio,skewness_mean,skewness_sd,variance_mean,variance_sd,attr_conc_mean,attr_conc_sd,attr_entropy_mean,attr_entropy_sd,kurtosis_target,bayesian_ridge_mean,skewness_target,linear_regr_mean,target_corr_mean,target_corr_sd,random_node_mean,worst_node_mean,sd_target
8,0,5,0.0,0.41824146359383346,0.35164595036420687,171.42322210987533,307.2500939833576,16.6,9.350935782048767,7.152733266353607,4.863786313803316,155.0,75.47979862188292,50.67246513366699,25.17724071599013,46.2,27.374440633554507,20.4,23.40598214132447,0.0,0.0,-0.11828741172363588,0,5,18.325436782836913,11.834385869541425,5,345,0.014492753623188406,1.7175796926021576,1.3286227773327246,475.8743419647217,549.7453191184853,,,,,3.5931694652393533,-0.11563339053229596,1.5370990447036306,-0.09888713774800413,0.2482270644649244,0.08629505111100019,-0.07683067861871504,-0.11457046818480354,3.332994311682143
189,0,8,0.0,0.12568249017448108,0.3306229263209041,0.1030192933618584,0.2709726997988244,1.560089586302638,0.013685847492217636,-1.1908427625894547,0.007237248005779061,1.5705338418483734,0.00020423586761965484,0.002472782725817524,0.011215007377410515,0.002504746924387291,0.016549433875992618,-1.5703402906656265,0.0005665449154099348,0.0,0.0,0.21666043148735153,0,0,0.9052813798189163,0.004449446262197248,8,8192,0.0009765625,-0.0024236725294031203,0.013748781758429413,0.8195541873574257,0.008062328757473343,,,,,-0.5342012348391667,0.40553379176328547,0.09029101909719554,0.4055268419424305,-0.09915151947257514,0.2035232585873801,0.21666043148735153,0.0072311745027878295,0.2635907057392731
191,0,32,0.0,0.25040466634999836,0.34647665137720635,1011.263237022579,14231.76447623034,44.03169411621093,153.42178437650816,2.8334535385947675,4.6058556829119315,221.73725977548747,768.8563292712972,87.54843648069073,290.40573250467514,82.31167480454315,271.6016920132083,34.2005655977664,106.76638180507739,0.0,0.0,-0.42620505997342395,0,32,33.359889214152645,116.91950033505415,32,194,0.16494845360824742,1.1393897607922554,0.7647452676800462,14783.051566062557,63079.63161638095,,,,,-0.8217692331288959,-0.1683084184123985,0.5138612730266058,-0.7858020499839912,-0.07111897726577085,0.19046979985971046,-0.30315263557920125,-0.3583404923080408,34.434553023341444
194,7,6,0.8571428571428571,0.08243083155894705,0.31826972644233215,23.051921491257595,211.21723333518838,22.01666667064031,21.665673050395455,0.1852494552731514,1.6268486703745606,81.86153844686655,156.3485727956541,45.38394180398721,76.85003484610968,45.13846153937853,75.9784335636277,24.615384615384617,41.80272067247898,0.0015232292460015233,0.0037996013067011333,-0.04013527785589961,3,4,8.25113734144431,14.451591456378702,13,303,0.0429042904290429,0.17811789535559142,0.8886448462643318,276.9297676315674,710.7099163833792,0.03929974709234737,0.049640001053707514,1.1195375313001967,0.33737883916599676,-0.15621171477513585,0.3309158685894237,1.0532483070030871,0.32291358850583357,0.14552385099530543,0.29070425900559926,-0.0073651476381066065,-0.018960927824208197,1.2265067259116655
196,3,4,1.3333333333333333,0.07769568838583975,0.6059479615456823,19425.81481638236,102132.18740694114,399.0875001549721,571.5247187096053,-0.2125679211957114,0.7469319385998778,838.2571427481515,1763.1780875284792,470.20617001397267,1022.9070879766351,438.2857142857143,967.0295776663879,247.85714285714286,557.8710625664138,0.0021536252692031586,0.005275283006711797,0.49960913073772845,0,1,142.51347330638342,289.66646429686614,7,398,0.017587939698492462,0.594450868666172,0.34779550372201945,104216.74655832563,250252.35892925577,0.12219502517228846,0.09998709572136005,2.203489459872832,1.057165008314081,-0.5194245936014235,0.6980099903819119,0.45534190520043777,0.698512616550057,-0.09716053376313176,0.6195686055470434,0.16940235750931454,0.24488947352083573,7.806159014202872
197,0,21,0.0,0.20533666641719459,0.31936887574333644,495840392.1407663,9188310930.607193,48074.98880989282,152138.82809339082,82.69397917531785,144.75563914074002,315095.78618921555,773891.5644652304,77423.04056481521,283352.1457456022,69705.01428574891,274120.3070312989,93.15238095252286,320.27215750866804,0.0,0.0,0.7557350393324904,0,21,38448.58554602804,103332.2816221714,21,8192,0.0025634765625,5.398356903166998,4.964297462112724,12155854208.300785,39217569856.32172,,,,,12.716688023401346,0.7136661168029166,-3.4161239456823633,0.7153326672848588,-0.207457000690758,0.2556876419765594,0.06646643668184476,0.05797055846107833,18.400781307642372
198,0,6,0.0,0.15111247397798944,0.41216404716797217,18.297133993141344,106.8737041825884,6.271516683045775,10.94538699626691,0.578238028412064,1.4969892314969866,17.647900061371427,32.81212400827537,-2.0988477732595734,4.565245481110702,-1.8163166626776122,3.674596727360319,-19.317450001835823,36.484382081625945,0.0,0.0,0.4134331832657169,0,6,5.102080931033318,9.29186234636317,6,9517,0.0006304507723021961,-0.01590598824744423,0.11643873085861403,112.36993915249089,240.6233604374537,,,,,0.6966656618426454,0.6316563058462769,-0.17606173462942915,0.6316735466350382,0.20579085718793624,0.32361648638275925,0.27877666828841485,0.00025277688196492234,0.002374218970084527
200,8,10,1.25,0.06679969875744077,0.2945030269765791,15576.167907088098,254156.31332326992,162.79361433982848,319.3185134509747,4.14910802576277,5.163077920655389,1007.8738772339291,3148.8248414477957,168.2033484565715,451.3611562251927,121.48499984873666,289.74118976340947,31.771550062629913,69.18976204948522,0.1646730462519936,0.12962457999525298,0.11839052808957243,1,2,149.9009708431032,486.20904543876554,18,418,0.0430622009569378,0.9347098670485947,1.6546917770351564,258869.5251509572,1048406.5281816495,0.04773047690195199,0.06652520516778687,1.3431832928577347,0.4021750840362847,-0.4907107143713749,0.08055856246547818,0.47090441693552926,0.2767362608399143,0.04667140210985751,0.2525894989235479,0.09746519660754241,-0.0038628169031098337,1103.350821967931
204,7,6,0.8571428571428571,0.10086275262867096,0.33516947998747,4.6072000385828815,48.1411592702347,11.683333337306976,11.646232100644701,-0.17094118835834357,1.0494025262142401,38.784615369943474,71.93225281498555,26.479651361703873,50.825011418140754,26.600000000916996,51.331022258538056,14.923076923076923,30.15718191910138,0.0015232292460015233,0.0037996013067011338,-0.25308929586020695,3,3,4.3628003528484935,7.196712854835801,13,303,0.0429042904290429,0.17219422986874214,0.8824784871562857,70.82670447001091,154.72547397497232,0.03929974709234737,0.049640001053707514,1.1195375313001967,0.33737883916599676,4.398208250636747,-0.14167298931150066,1.1298741026270545,-0.19239730514340103,0.025716364042099857,0.10623385661702449,-0.09777992487885959,-0.1300785929064235,51.6914064726489
206,0,60,0.0,0.05266062465136271,0.3120260531133273,0.0021948359286347134,0.015432877871668124,0.15580833243827025,0.2395945862100476,18.069174935917058,35.19841536426231,0.8699999769528707,0.16155493993429065,0.20417563195029895,0.10128572485652117,0.14415000155568122,0.11524362966861883,0.09666666810711225,0.017950549624599042,0.0,0.0,-0.5619702981214881,16,43,0.1798473745584488,0.07824200803961101,60,186,0.3225806451612903,3.1642813657100004,2.971632610939109,0.03846689006313682,0.03174602227077222,,,,,2.009054004692226,-0.23622941495526578,-1.342202471132807,-28113834.600005876,0.06722656946375759,0.10692571226663017,-0.2127180408211899,-0.22682411049306275,0.15729810223088173
